Name,Namesake
"20th Century Boy
",20th Century Boy (T. Rex song)
"Achtung Baby
","Achtung Baby[1] (U2 album)Achtung (German for ""attention/caution"")"
"Aerosmith
",Aerosmith (American rock band)
"Anubis
",Anubis (Egyptian god)
"Aqua Necklace
", AquaW (Asia album)[1]
"Atom Heart Father
",Atom Heart Mother[1][2] (Pink Floyd song and album)
"Atum
",Atum (Egyptian god)
"Baby Face
",Babyface (American musician)
"Bad Company
",Bad Company[1] (English hard rock band)
"Ball Breaker
",Ballbreaker (AC/DC song and album)
"Bastet
",Bastet (Egyptian goddess)
"Beach Boy
",The Beach Boys (American rock band)
"Black Sabbath
",Black Sabbath (English rock band)
"Bohemian Rhapsody
",Bohemian Rhapsody (Queen song)
"Born This Way
",Born This Way (Lady Gaga song and album)Going Underground (The Jam song)
"Boy II Man
",Boyz II Men[1] (American R&B vocal group)
"Burning Down the House
",Burning Down the House (Talking Heads song)
"C-Moon
",C Moon (Wings song)
"California King Bed
",California King Bed (Rihanna song)
"Catch the Rainbow
",Catch the Rainbow[1] (Rainbow song)
"Cheap Trick
",Cheap Trick[1] (American rock band)
"Chocolate Disco
",Chocolate Disco[1] (Perfume song)
"Cinderella
",Cinderella[1] (American rock band)
"Civil War
",Civil War (Guns N' Roses song)
"Clash
",The Clash (English rock band)
"Crazy Diamond
",Shine On You Crazy Diamond[1] (Pink Floyd musical composition)
"Cream
",Cream[1] (British rock band)
"Cream Starter
",Firestarter(Prodigy Song)
"Dark Blue Moon
",The Moon (Tarot Card)
"Death Thirteen
",Death (Tarot Card)
"Dirty Deeds Done Dirt Cheap
",Dirty Deeds Done Dirt Cheap (AC/DC song and album)
"Diver Down
",Diver Down[1] (Van Halen album)
"Doobie Wah!
",Doobie Wah (Peter Frampton song)
"Dragon's Dream
",Dragon's Dream (Roger Dean's company)[1]
"Earth, Wind and Fire
","Earth, Wind & Fire[1] (American R&B band)"
"Ebony Devil
",The Devil (Tarot Card)
"Echoes
",Echoes[1] (Pink Floyd song)
"Emperor
",The Emperor (Tarot Card)
"Empress
",The Empress (Tarot Card)
"Enigma
",Enigma[1] (German electronic band)Misterioso (Thelonious Monk song and album)
"Foo Fighters
","Foo Fighters (American rock band)Fendi (Italian fashion brand's ""FF"" logo)"
"Fool, The
",The Fool (Tarot Card)
"Fun Fun Fun
","Fun, Fun, Fun (The Beach Boys song)"
"Geb
",Geb (Egyptian god)
"Gold Experience
",The Gold Experience[1] (Prince album)
"Goo Goo Dolls
",Goo Goo Dolls (American rock band)
"Grateful Dead, The
",The Grateful Dead
"Green Day
",Green Day (American punk rock band)
"Green, Green Grass of Home
","Green, Green Grass of Home (Porter Wagoner song)"
"Hand, The
",The Band[1] (Canadian-American roots rock band)
"Hanged Man
",The Hanged Man (Tarot Card)
"Harvest
",Harvest[1] (Neil Young song and album)
"Heaven's Door
",Knockin' on Heaven's Door[1] (Bob Dylan song)
"Heirophant Green
",Error
"Hermit Purple
",The Hermit (Tarot Card)
"Hey Ya!
",Hey Ya! (Outkast song)Hey! Ya! (Pocoloco's horse)
"High Priestess
",The High Priestess (Tarot Card)
"Highway Star
",Highway Star[1] (Deep Purple song)
"Highway to Hell
",Highway to Hell (AC/DC song and album)
"Horus
",Horus (Egyptian god)
"I Am a Rock
",I Am a Rock (Simon & Garfunkel song)
"In a Silent Way
",In a Silent Way (Miles Davis album)
"Jail House Lock
",Jailhouse Rock (Elvis Presley song)
"Judgement
",Judgement (Tarot Card)
"Jumpin' Jack Flash
",Jumpin' Jack Flash (The Rolling Stones song)[1]
"Justice
",Justice (Tarot Card)
"Khnum
",Khnum (Egyptian god)
"Killer Queen
",Killer Queen[1] (Queen song)
"King Crimson
",King Crimson (British progressive rock band)Epitaph (King Crimson song)
"King Nothing
",King Nothing (Metallica song)
"Kiss
",Kiss (American hard rock band)
"Kraft Work
",Kraftwerk (German electronic band)
"Les Feuilles
",Autumn Leaves (Jazz standard)
"Limp Bizkit
",Limp Bizkit (American rap rock band)
"Listen to My Rhythm
",Oye Como Va (Santana song)
"Little Feet
",Little Feat (American rock band)Little Feat (Little Feat album)
"Lock, The
",The Rock[1] (The Who song)
"Love Deluxe
",Love Deluxe[1] (Sade album)
"Love Love Deluxe
","Love Deluxe (Part 4 Stand)Love Deluxe (Sade album)Rabu rabu (ラブラブ) (Japanese slang term for ""lovey dovey"" or ""being in love"")"
"Lovers
",The Lovers (Tarot Card)
"Made in Heaven
",Made in Heaven (Freddie Mercury song and Queen album)Stairway To Heaven (Led Zeppelin song)
"Magician's Red
",The Magician (Tarot Card)
"Man in the Mirror
",Man in the Mirror[1] (Michael Jackson song)
"Mandom
",Lovers of the World[1] (Jerry Wallace song)
"Manhattan Transfer
",The Manhattan Transfer (American jazz vocal group)
"Marilyn Manson
",Marilyn Manson (American rock band and singer)
